CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Heart Failure,ED Discharge,2017,North Central Region,Region,NORTH CENTRAL,2,NORTH CENTRAL,NA,347,52.57,45.71,,,,,11,5.8,70,43.11,265,274.15,175,52.75,53.54,,,,,5,5.11,51,63.47,118,273.62,172,52.38,39.04,,,,,6,6.53,19,23.16,166,122.45,147,274.58,248,67.39,,,,,,,40,40.34,208,295.37,130,68.97,,,,,,,31,60.72,99,307.62,118,65.72,,,,,,,9,18.71,118,136.69,109,285.06,19,83.85,,,,,7,105.63,6,116.26,6,271.86,8,65.72,,,,,,,5,179.86,,,11,104.88,,,,,6,208.91,,,5,138.62,,,37,30.21,,,,,,,13,54.86,22,267.22,16,26.45,,,,,,,6,55.09,8,233.85,21,33.89,,,,,,,7,54.67,21,119.2,14,290.94,31,26.02,,,,,,,8,26.26,20,136.2,12,21.15,,,,,,,6,43.61,,,19,30.45,,,,,,,,,19,74.91,17,196.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40.26,,,,,,,,,7,845.41,8,64.68,,,,,,,,,5,"1,322.75",,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Coastal,SRA,COASTAL,11,NORTH CENTRAL,Supervisorial District 4,31,36.19,24.97,,,,,,,7,33.79,24,164.46,15,33.41,28.65,,,,,,,7,66.37,8,117.26,17,39.03,19.83,,,,,,,,,17,92.3,17,202.82,27,42.25,,,,,,,,,23,176.87,12,36.47,,,,,,,,,8,133.43,15,48.34,,,,,,,,,15,105.41,15,213.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,SNF/Intermediate Care,2017,Harbison Crest,SRA,HARBISON CREST,37,EAST,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Del Mar-Mira Mesa,SRA,DEL MAR-MIRA MESA,13,NORTH CENTRAL,Supervisorial District 3,61,35.53,38.83,,,,,,,13,28.36,43,199.5,28,32.43,39.37,,,,,,,9,42.13,16,162.84,33,38.66,37.67,,,,,,,,,31,86.26,27,229.95,25,33.12,,,,,,,,,23,184.65,10,26.09,,,,,,,,,9,150.02,15,40.69,,,,,,,,,15,82.21,14,216.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,31.52,,,,,,,,,,,,,,,,,,,,,,,5,39.19,,,,,,,,,5,133.96,,,21,37.08,,,,,,,7,41.99,12,176.72,11,40.78,,,,,,,6,78.68,,,10,33.64,,,,,,,,,10,77.92,9,218.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Elliott-Navajo,SRA,ELLIOTT-NAVAJO,17,NORTH CENTRAL,Supervisorial District 3,73,77.12,61.34,,,,,,,9,35.9,60,377.54,45,97.81,89.34,,,,,,,6,55,35,494.87,28,57.27,39.5,,,,,,,,,28,130.17,25,284.98,54,93.04,,,,,,,5,28.25,49,388.5,33,116.19,,,,,,,,,30,524.35,20,70.21,,,,,,,,,20,136.55,19,276.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,68.35,,,,,,,,,5,344.93,,,,,,,,,,,,,5,90.58,,,,,,,,,5,206.09,5,565.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Kearny Mesa,SRA,KEARNY MESA,10,NORTH CENTRAL,Supervisorial District 4,123,72.55,60.42,,,,,,,28,65.92,91,362.91,58,69.06,66.25,,,,,,,19,91.24,39,356.35,65,75.99,56.5,,,,,,,9,40.86,61,172.29,52,367.98,90,102.57,,,,,,,20,80,71,402.85,47,106.74,,,,,,,15,122.14,32,408.69,43,98.31,,,,,,,,,43,199.23,39,398.15,10,123.51,,,,,,,,,,,,,,,,,,,,,,,6,161.86,,,,,,,,,,,,,18,39.99,,,,,,,,,14,434.4,6,27.86,,,,,,,,,5,370.17,12,51.72,,,,,,,,,12,179.09,9,480.74,5,20.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Miramar,SRA,MIRAMAR,16,NORTH CENTRAL,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,SNF/Intermediate Care,2017,Elliott-Navajo,SRA,ELLIOTT-NAVAJO,17,NORTH CENTRAL,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,SNF/Intermediate Care,2017,City of Encinitas,Municipal,ENCINITAS,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Peninsula,SRA,PENINSULA,2,NORTH CENTRAL,Supervisorial District 4,40,57.6,47.75,,,,,,,10,61.41,30,289.01,22,60.57,62.58,,,,,,,8,92.1,15,306.26,18,54.23,32.46,,,,,,,,,18,130.16,15,274.12,32,65.5,,,,,,,7,57.91,25,278.95,19,72.85,,,,,,,6,96.26,13,307.93,13,56.96,,,,,,,,,13,121.53,12,253.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,University,SRA,UNIVERSITY,12,NORTH CENTRAL,Supervisorial District 3,24,34.27,28.41,,,,,,,,,22,221.4,12,34.04,35.81,,,,,,,,,11,242.68,12,34.49,22.5,,,,,,,,,12,97.17,11,204.64,23,62.78,,,,,,,,,22,304.71,11,58.8,,,,,,,,,11,336.35,12,66.73,,,,,,,,,12,151.5,11,279.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,North Coastal Region,Region,NORTH COASTAL,1,NORTH COASTAL,NA,352,63.37,55.24,,,,,18,13,88,63.79,246,297.23,201,71.18,71.94,,,,,15,21.16,59,87.67,127,344.7,151,55.29,40.78,,,,,,,29,41.05,148,126.96,119,259.15,240,74.85,,,,,6,7.8,42,47.42,192,301.2,125,75.6,,,,,5,12.4,24,54.2,96,331.3,115,74.05,,,,,,,18,40.64,114,144.2,96,276.12,36,202.29,,,,,7,150.44,24,592.59,5,293.26,31,321.54,,,,,7,270.37,20,938.09,,,5,61.31,,,,,,,,,5,175.93,,,43,26.82,,,,,,,16,50.72,26,249.5,25,31.03,,,,,,,11,73.71,14,320.29,18,22.56,,,,,,,5,30.09,17,74.99,12,198.35,19,50.33,,,,,,,6,54.88,9,153.04,10,57.99,,,,,,,,,,,9,43.89,,,,,,,,,8,80.49,6,165.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,84.87,,,,,,,,,14,"1,925.72",10,120.9,,,,,,,,,10,"3,030.3",,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Carlsbad,SRA,CARLSBAD,41,NORTH COASTAL,Supervisorial District 5,67,53.65,39.75,,,,,,,8,22.82,59,283.34,36,58.81,50.85,,,,,,,6,33.09,30,324.3,31,48.64,30.87,,,,,,,,,31,105.05,29,250,53,62.59,,,,,,,,,50,292.6,26,61.3,,,,,,,,,24,309.25,27,63.87,,,,,,,,,27,122.55,26,278.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,28.35,,,,,,,,,,,5,40.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Oceanside,SRA,OCEANSIDE,42,NORTH COASTAL,Supervisorial District 5,154,91.81,82.22,,,,,14,31.35,54,131.27,86,351.04,99,118.94,116.02,,,,,11,48.02,38,188.7,50,467.27,55,65.1,52.66,,,,,,,16,76.29,52,149.28,36,260.34,90,113.2,,,,,,,25,115.32,62,364.92,52,128.71,,,,,,,16,143.76,34,442.49,39,97.53,,,,,,,9,85.8,38,186.06,28,301.97,29,374.71,,,,,7,333.11,18,898.99,,,25,632.2,,,,,7,622.75,15,"1,456.97",,,,,,,,,,,,,,,,,18,29.14,,,,,,,8,60.44,9,220.82,10,32.62,,,,,,,5,92.96,,,8,25.71,,,,,,,,,7,77.39,5,201.35,10,76.24,,,,,,,,,,,5,93.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,129.84,,,,,,,,,7,"2,914.75",7,262.59,,,,,,,,,7,"6,135.32",,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Pendleton,SRA,PENDLETON,43,NORTH COASTAL,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,San Dieguito,SRA,SAN DIEGUITO,40,NORTH COASTAL,Supervisorial District 3,55,54.81,40.18,,,,,,,8,28.02,46,252.01,26,53.32,46.83,,,,,,,6,40.42,20,239.55,28,56.27,33.77,,,,,,,,,28,116.6,26,262.41,49,65.49,,,,,,,6,28.04,42,263.64,25,68.43,,,,,,,5,46.49,19,266.97,23,62.54,,,,,,,,,23,118.63,22,260.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Vista,SRA,VISTA,52,NORTH COASTAL,Supervisorial District 5,71,66.2,63.32,,,,,,,18,71.81,50,355.43,36,68.27,75.96,,,,,,,10,79.42,24,390.06,34,64.14,52.71,,,,,,,8,64.52,34,165.04,26,328.74,44,94.49,,,,,,,8,61.76,34,355.93,20,86.66,,,,,,,,,17,387.65,24,102.34,,,,,,,6,95.38,24,199.91,18,330.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36.68,,,,,,,6,61.54,12,414.56,10,41.47,,,,,,,,,6,512.73,8,31.91,,,,,,,,,8,118.92,6,343.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,North Inland Region,Region,NORTH INLAND,6,NORTH INLAND,NA,414,68.14,58.05,,,,,11,7.48,83,53.38,319,344.89,215,71.72,69.43,,,,,7,9.44,55,72.73,152,369.33,199,64.65,48.53,,,,,,,28,35.06,195,148.63,167,325.31,313,99.21,,,,,,,51,55.43,258,383.88,155,98.8,,,,,,,32,69.99,121,394.81,158,99.61,,,,,,,19,41.05,156,188.3,137,374.73,14,104.22,,,,,,,7,231.48,7,518.13,7,100.17,,,,,,,5,317.66,,,7,108.61,,,,,,,,,7,319.63,5,675.68,42,23.18,,,,,,,19,52.53,19,155.01,25,27.98,,,,,,,12,69.77,9,175.88,17,18.51,,,,,,,7,36.89,17,65.1,10,140.06,26,35.16,,,,,,,,,22,210.26,14,40.28,,,,,,,,,11,260.29,12,30.61,,,,,,,,,11,62.49,11,176.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,94.55,,,,,,,,,13,"1,560.62",14,139.5,,,,,,,,,9,"2,472.53",5,49.71,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Anza-Borrego Springs,SRA,ANZA-BORREGO SPRINGS,63,NORTH INLAND,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Escondido,SRA,ESCONDIDO,50,NORTH INLAND,Supervisorial District 3,148,85.63,79.1,,,,,,,35,85.02,111,455.58,75,87.17,89.71,,,,,,,27,133.02,47,434.05,74,84.12,68.63,,,,,,,8,39.14,73,207.93,64,472.56,101,129.51,,,,,,,13,59.43,87,523.38,48,124.28,,,,,,,11,96.32,37,495.06,53,134.69,,,,,,,,,53,259.44,50,546.73,10,252.07,,,,,,,5,537.23,5,"1,183.31",6,272.37,,,,,,,5,978.78,,,,,,,,,,,,,,,,,23,30.35,,,,,,,15,101.09,7,139.75,12,32.78,,,,,,,9,127.26,,,11,27.99,,,,,,,6,77.13,11,101.02,5,164.31,8,66.78,,,,,,,,,7,358.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,149.82,,,,,,,,,,,5,214.31,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,North San Diego,SRA,NORTH SAN DIEGO,14,NORTH INLAND,Supervisorial District 3,58,48.36,39.4,,,,,,,5,14.8,52,287.15,32,54.62,54.39,,,,,,,,,28,352.64,26,42.32,27.71,,,,,,,,,26,95.97,24,235.67,45,68.14,,,,,,,,,41,322.76,23,69.05,,,,,,,,,21,368.47,22,67.23,,,,,,,,,22,132.07,20,285.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21.29,,,,,,,,,6,149.77,5,32.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,110.89,,,,,,,,,,,5,178.86,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Palomar-Julian,SRA,PALOMAR-JULIAN,60,NORTH INLAND,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Pauma,SRA,PAUMA,54,NORTH INLAND,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Poway,SRA,POWAY,15,NORTH INLAND,Supervisorial District 2,47,51.58,43.51,,,,,,,10,37.98,36,253.63,19,42.95,40.81,,,,,,,,,15,236.29,28,59.9,47.89,,,,,,,6,43.41,27,126.13,21,267.81,38,71.47,,,,,,,9,52.02,30,275.19,16,57.79,,,,,,,,,12,247.79,23,85.07,,,,,,,6,66.97,23,159.87,17,298.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,ED Discharge,2017,Ramona,SRA,RAMONA,39,NORTH INLAND,Supervisorial District 2,33,90.82,76.24,,,,,,,8,80.5,25,427.09,21,116.28,108.61,,,,,,,7,143.93,14,514.05,12,65.85,52.05,,,,,,,,,12,145.83,11,352.08,29,126.85,,,,,,,8,106.68,22,464.9,20,168.63,,,,,,,7,188.81,13,574.14,10,85.18,,,,,,,,,10,160.31,9,365.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
